156,DJUPINTEGRATION,1004,488
7,DJUPINTEGRATION,1009,441
1,DJUPINTEGRATION,1009,453
155,DJUPINTEGRATION,1009,488
3,DJUPINTEGRATION,1015,498
45,DJUPINTEGRATION,1015,524
2,DJUPINTEGRATION,1017,498
4,DJUPINTEGRATION,1024,1254
5,DJUPINTEGRATION,1024,1258
8,DJUPINTEGRATION,1034,699
6,DJUPINTEGRATION,1064,531
153,DJUPINTEGRATION,1064,587
22,DJUPINTEGRATION,1072,597
5,DJUPINTEGRATION,1111,496
89,DJUPINTEGRATION,1111,710
24,DJUPINTEGRATION,1134,551
3,DJUPINTEGRATION,1152,802
29,DJUPINTEGRATION,1168,603
3,DJUPINTEGRATION,1168,605
24,DJUPINTEGRATION,1176,614
757,DJUPINTEGRATION,1184,587
20,DJUPINTEGRATION,1184,812
48,DJUPINTEGRATION,1192,597
3,DJUPINTEGRATION,1244,695
4389,DJUPINTEGRATION,1244,699
2,DJUPINTEGRATION,1252,708
99,DJUPINTEGRATION,1252,710
26,DJUPINTEGRATION,1280,1002
3,DJUPINTEGRATION,1280,592
1,DJUPINTEGRATION,1280,706
1,DJUPINTEGRATION,1280,898
25,DJUPINTEGRATION,1280,962
3,DJUPINTEGRATION,1337,614
3,DJUPINTEGRATION,1337,699
92,DJUPINTEGRATION,1339,624
89,DJUPINTEGRATION,1339,710
3,DJUPINTEGRATION,1366,706
1,DJUPINTEGRATION,1367,752
12,DJUPINTEGRATION,1378,752
2,DJUPINTEGRATION,1424,1002
6,DJUPINTEGRATION,1424,675
11,DJUPINTEGRATION,1424,705
10127,DJUPINTEGRATION,1424,722
14,DJUPINTEGRATION,1424,729
11,DJUPINTEGRATION,1424,752
5,DJUPINTEGRATION,1424,765
128,DJUPINTEGRATION,1424,812
67,DJUPINTEGRATION,1429,675
2,DJUPINTEGRATION,1432,731
618,DJUPINTEGRATION,1432,732
134,DJUPINTEGRATION,1432,822
2,DJUPINTEGRATION,1440,837
1,DJUPINTEGRATION,1578,860
11,DJUPINTEGRATION,1600,838
1,DJUPINTEGRATION,1680,1028
29,DJUPINTEGRATION,1680,988
9,DJUPINTEGRATION,1904,992
2,DJUPINTEGRATION,1920,1017
89,DJUPINTEGRATION,1920,1018
82,DJUPINTEGRATION,752,488
6,DJUPINTEGRATION,837,455
223,DJUPINTEGRATION,848,560
3,DJUPINTEGRATION,848,567
15,DJUPINTEGRATION,856,570
5,DJUPINTEGRATION,883,585
2,DJUPINTEGRATION,938,674
3,DJUPINTEGRATION,944,402
135,DJUPINTEGRATION,944,452
55,DJUPINTEGRATION,944,488
115,DJUPINTEGRATION,944,512
59,DJUPINTEGRATION,944,632
2,DJUPINTEGRATION,944,677
1650,DJUPINTEGRATION,944,680
2,DJUPINTEGRATION,944,687
21,DJUPINTEGRATION,944,710
2,DJUPINTEGRATION,952,412
3,DJUPINTEGRATION,952,413
2,DJUPINTEGRATION,952,522
14,DJUPINTEGRATION,968,603
18,DJUPINTEGRATION,996,486
2,DJUPINTEGRATION,997,496
1,NORMAL,1001,599
1,NORMAL,1002,487
1,NORMAL,1002,654
1,NORMAL,1007,463
15,NORMAL,1008,537
1,NORMAL,1008,604
2,NORMAL,1008,662
2,NORMAL,1008,675
1,NORMAL,1008,883
1,NORMAL,1010,422
1,NORMAL,1011,463
1,NORMAL,1011,476
4,NORMAL,1019,539
6,NORMAL,1020,1147
1,NORMAL,1022,566
1,NORMAL,1022,725
1,NORMAL,1022,995
6,NORMAL,1024,460
1,NORMAL,1024,482
1,NORMAL,1024,495
2,NORMAL,1024,565
1,NORMAL,1024,623
4,NORMAL,1024,651
17,NORMAL,1024,667
22,NORMAL,1024,669
1,NORMAL,1024,672
5,NORMAL,1024,673
8,NORMAL,1024,674
2,NORMAL,1024,682
2,NORMAL,1024,695
4,NORMAL,1024,708
2,NORMAL,1024,715
1,NORMAL,1024,723
2,NORMAL,1024,725
2,NORMAL,1024,726
1,NORMAL,1024,734
1,NORMAL,1024,774
1,NORMAL,1026,814
1,NORMAL,1027,541
1,NORMAL,1033,622
1,NORMAL,1034,404
1,NORMAL,1034,455
1,NORMAL,1034,512
2,NORMAL,1034,535
2,NORMAL,1034,541
5,NORMAL,1034,563
3,NORMAL,1034,586
1,NORMAL,1034,588
1,NORMAL,1034,593
1,NORMAL,1034,625
1,NORMAL,1035,541
1,NORMAL,1040,878
5,NORMAL,1042,604
1,NORMAL,1056,668
3,NORMAL,1061,513
1,NORMAL,1066,638
2,NORMAL,1067,537
1,NORMAL,1072,874
1,NORMAL,1080,667
2,NORMAL,1086,561
1,NORMAL,1088,488
1,NORMAL,1093,559
3,NORMAL,1098,518
2,NORMAL,1109,764
1,NORMAL,1113,842
4,NORMAL,1120,613
5,NORMAL,1120,637
1,NORMAL,1122,677
1,NORMAL,1128,533
1,NORMAL,1136,550
2,NORMAL,1142,737
